system,sltp_method,total_opened,decisive,wins,losses,be_count,win_rate,pnl_r,avg_win,avg_loss,expectancy,profit_factor,sharpe,max_dd,max_consec_l,trades_per_day,wf_mean_wr,wf_std_wr,wf_positive_pct,mc_pnl_p10,mc_pnl_p50,mc_pnl_p90,mc_ruin_pct,rank_score
ema200_rsi14,range_w30_q75_rr3.0,6501,5773,1605,4168,728,27.801836133725967,579.8282289311908,2.88863694587238,-0.9732428751737447,0.10043062435492833,1.1429284805309259,5.143428295051237,52.6031490120327,20,32.07222222222222,27.814342360099168,0.9788922224681453,0.0,431.72446830187823,590.5526710484139,763.4565572513837,0.26,0.003822527090976322
emacross_5_21,range_w60_q75_rr3.0,14411,12657,3430,9227,1754,27.099628663980408,1054.4820352011848,2.873917562014005,-0.9540390776146417,0.08332295714290439,1.1198032970853156,6.40645883828454,84.16891498259224,26,70.31666666666666,27.113338194368318,0.6842667798938625,0.0,776.650067191211,1036.2764076936874,1287.3358452219763,0.285,0.003816706430824171
macd_3_10_3,range_w60_q75_rr3.0,48700,47130,15902,31228,1570,33.740717165287506,2526.3368329286754,1.773753388233397,-0.8224045089861817,0.05355778427895175,1.0982857119656677,9.659169499993009,182.3310043781546,22,261.8333333333333,33.74586370319381,0.5180556260024493,0.0,2151.234794713942,2543.8077950098577,2984.939513517618,0.265,0.00380232931549925
emacross_5_21,range_w30_q75_rr3.0,14427,12712,3457,9255,1715,27.194776589049717,1074.71227043366,2.8727242915997375,-0.9569066475310096,0.08455293055072366,1.121365864591096,6.505448763265739,90.43864465827687,32,70.62222222222222,27.206991564531855,0.6472646958574455,0.0,777.2995707463346,1061.1135583622831,1321.6358613409845,0.31,0.0037953778266237243
macd_8_21_5,atr14_q50w50_rr3.0,27280,25105,7650,17455,2175,30.472017526389166,1712.3549002644538,2.2423525678937866,-0.884678519372982,0.06819094159458539,1.1108617111024024,8.110006350410842,202.5295219961613,27,139.47222222222223,30.48058822518359,0.7061087645132703,0.0,1392.7746671877273,1705.3131438483679,2073.526234979357,0.315,0.003788248440202189
macd_hist_8_21_5,atr14_q50w50_rr3.0,27280,25105,7650,17455,2175,30.472017526389166,1712.3549002644538,2.2423525678937866,-0.884678519372982,0.06819094159458539,1.1108617111024024,8.110006350410842,202.5295219961613,27,139.47222222222223,30.48058822518359,0.7061087645132703,0.0,1392.7746671877273,1705.3131438483679,2073.526234979357,0.315,0.003788248440202189
emacross_8_21,atr14_q50w50_rr3.0,11786,9829,2658,7171,1957,27.04242547563333,844.4321109189902,2.900471251136793,-0.957336376472461,0.08590837621706982,1.1229987114005355,5.800372232353746,105.87953817262553,29,54.605555555555554,27.038046508135352,1.3426386254905645,0.0,597.9660512099246,843.6626205473467,1061.8988933619814,0.25,0.003737254199520681
macd_8_21_5,range_w30_q75_rr2.0,27605,26357,9272,17085,1248,35.17851045263118,1576.1135232779227,1.8717816460451298,-0.9235777879037819,0.05978802275654782,1.0998669312762854,8.386505865755316,138.24244557204827,20,146.42777777777778,35.188889433276856,0.7995684139250313,0.0,1257.6449201679538,1569.0694814036165,1850.488423288055,0.255,0.0037355238964452697
macd_hist_8_21_5,range_w30_q75_rr2.0,27605,26357,9272,17085,1248,35.17851045263118,1576.1135232779227,1.8717816460451298,-0.9235777879037819,0.05978802275654782,1.0998669312762854,8.386505865755316,138.24244557204827,20,146.42777777777778,35.188889433276856,0.7995684139250313,0.0,1257.6449201679538,1569.0694814036165,1850.488423288055,0.255,0.0037355238964452697
emacross_8_21,atr21_q50w50_rr3.0,11786,9788,2649,7139,1998,27.063751532488762,848.8836312694295,2.897955529040126,-0.9564153502169842,0.08672200768576255,1.124319531407973,5.845174359888165,96.28880712186674,28,54.37777777777778,27.056119072052855,1.4069216746401763,0.0,618.0860916103177,845.3228593787755,1061.7973008368901,0.27,0.0037004083670687587
emafan_8_13_21,atr14_q50w50_rr3.0,12630,10554,2879,7675,2076,27.27875686943339,906.4602155584803,2.9115839599517903,-0.9740787479277201,0.0858817349209734,1.1212398657139917,5.962011719013475,153.91688120956394,35,58.63333333333333,27.296759837791654,1.5345591953486495,0.0,642.5307093758119,898.5360985322791,1135.540445071395,0.28,0.0036866009523459755
emafan_5_8_13,range_w100_q75_rr3.0,19357,17001,4644,12357,2356,27.316040232927474,1301.957396067804,2.8257718007615678,-0.9566252827069196,0.07657582638240779,1.1101314249095116,6.851651644955207,130.59886900386323,27,94.45,27.331330333577604,0.9156605386368173,0.0,986.0706999001551,1292.4097732019404,1615.5385189843219,0.3,0.0036726962075778
emacross_8_21,range_w60_q75_rr3.0,11801,10250,2774,7476,1551,27.063414634146344,878.801841982015,2.9344513146900923,-0.9712619087143964,0.0857574553562429,1.1210570542677367,5.865277958615632,79.60898400225011,27,56.94444444444444,27.077838365284503,1.128840588724681,0.0,666.1236332598879,882.3189162804972,1105.6486367382847,0.27,0.0036718365826219302
kama200_macd12_26,range_w60_q75_rr2.0,10049,9335,3342,5993,714,35.80074986609534,700.1864548455989,1.9990734116164004,-0.9979504232899069,0.07500658327215826,1.1170740010104352,5.966183754852647,62.8660049627772,21,51.861111111111114,35.80555035207644,0.5929340484494172,0.0,519.9742962342567,706.6032879305939,882.0328238655795,0.18,0.003669525080727894
macd_12_26_9,range_w30_q75_rr2.0,19107,17965,6333,11632,1142,35.25187865293626,1167.3773367819317,1.9463961880873895,-0.9593325890517143,0.06499139344881133,1.104630783793147,7.341181165269132,82.00220355975148,21,99.80555555555556,35.26156158653586,0.6905053192490345,0.0,912.7009453795993,1171.5814834066719,1424.5451018938043,0.24,0.0036260633105316712
macd_hist_12_26_9,range_w30_q75_rr2.0,19107,17965,6333,11632,1142,35.25187865293626,1167.3773367819317,1.9463961880873895,-0.9593325890517143,0.06499139344881133,1.104630783793147,7.341181165269132,82.00220355975148,21,99.80555555555556,35.26156158653586,0.6905053192490345,0.0,912.7009453795993,1171.5814834066719,1424.5451018938043,0.24,0.0036260633105316712
macd_12_26_9,atr7_q50w50_rr3.0,18926,16582,4760,11822,2344,28.705825594017607,1300.4521293096927,2.6158249932873896,-0.9432080151847702,0.07844179306076593,1.1166503337166742,7.101805662688496,128.20223800609097,26,92.12222222222222,28.697981676002588,0.9093105435112532,0.0,1077.1465071964365,1314.592745074362,1589.1399313176698,0.36,0.0035653015689624747
macd_hist_12_26_9,atr7_q50w50_rr3.0,18926,16582,4760,11822,2344,28.705825594017607,1300.4521293096927,2.6158249932873896,-0.9432080151847702,0.07844179306076593,1.1166503337166742,7.101805662688496,128.20223800609097,26,92.12222222222222,28.697981676002588,0.9093105435112532,0.0,1077.1465071964365,1314.592745074362,1589.1399313176698,0.36,0.0035653015689624747
emacross_9_21,range_w60_q75_rr3.0,11272,9818,2659,7159,1454,27.0829089427582,878.6095685628775,2.9494732655761,-0.9727259422652634,0.0895196977479964,1.1262114551696178,5.9766196215237395,107.06677512903104,23,54.544444444444444,27.11605251445514,1.3671840537019595,0.0,692.7722733623832,883.350850309947,1090.5782369299989,0.335,0.0035579174607891064
ema50_rsi14,range_w100_q75_rr3.0,14031,12594,3511,9083,1437,27.878354772113706,1011.4184830339051,2.6906767768952915,-0.92876574731397,0.08027528035783549,1.1198422669056978,6.303416139283629,108.78799073474295,25,69.96666666666667,27.892200766982267,0.8072819379823163,0.0,764.4608150526064,1029.0308217825523,1261.1687890142503,0.3,0.003542059484551688
macd_3_10_3,range_w30_q75_rr3.0,48757,47187,15879,31308,1570,33.65121749634433,2586.896557205099,1.7905726715672894,-0.8255970011134125,0.054775945513770075,1.099997425306953,9.838724476206075,185.43623670653642,22,262.15,33.65515271050312,0.4287757151492382,0.0,2110.948017913487,2521.1161605978205,2919.870480222651,0.345,0.003529961604710473
ema200_rsi14,range_w60_q75_rr3.0,6486,5750,1598,4152,736,27.791304347826085,567.3209416823046,2.8840422537883574,-0.9733652841824717,0.09865858463098653,1.1403684576072486,5.0458309032769595,63.515162959801586,19,31.944444444444443,27.79595578441057,1.0472332147821695,0.0,395.6288854400419,547.8767115060028,706.52803558441,0.305,0.0034598110196719504
macd_8_21_5,range_w100_q75_rr2.0,27539,26306,9224,17082,1233,35.06424389873033,1526.6950877872719,1.8610603064991706,-0.915594879588772,0.05801826708784874,1.097583748335989,8.171974821649302,193.5005067190832,27,146.14444444444445,35.07538113017445,0.8770822127499274,0.0,1267.5881881899634,1517.504739787951,1804.6231486994027,0.275,0.0034373976793227764
macd_hist_8_21_5,range_w100_q75_rr2.0,27539,26306,9224,17082,1233,35.06424389873033,1526.6950877872719,1.8610603064991706,-0.915594879588772,0.05801826708784874,1.097583748335989,8.171974821649302,193.5005067190832,27,146.14444444444445,35.07538113017445,0.8770822127499274,0.0,1267.5881881899634,1517.504739787951,1804.6231486994027,0.275,0.0034373976793227764
macd_3_10_3,range_w100_q75_rr3.0,48681,47114,15942,31172,1567,33.83707602835675,2562.077290490343,1.7609312295982178,-0.8184469447255509,0.05433920917922297,1.100347854604216,9.836427158140644,171.2611674742784,21,261.74444444444447,33.84118563247763,0.47811070643283937,0.0,2141.20589735482,2552.326190305347,2938.982938130849,0.36,0.003420823506703323
kama200_macd12_26,range_w60_q75_rr3.0,9911,8633,2343,6290,1278,27.140044017143516,746.9298176774581,2.9978247296722196,-0.9979290181151912,0.08652030785097387,1.1189952155809113,5.351286199739986,69.82590962065956,26,47.96111111111111,27.136490134701916,0.4868284260020786,0.0,566.9663073609887,778.2433548110586,990.246092468189,0.265,0.0034030127310912617
emacross_9_21,range_w100_q75_rr3.0,11272,9745,2632,7113,1527,27.008722421754744,844.5156160588134,2.947788813232799,-0.9720042099693822,0.08668180717460339,1.1221768280689333,5.772758364667631,108.47470172654874,23,54.138888888888886,27.03638078949708,1.35027055842334,0.0,618.1681119260259,855.6250316215306,1038.7416951798175,0.325,0.003377653610163964
kama100_macd8_21,range_w30_q75_rr3.0,11834,10390,2816,7574,1444,27.10298363811357,882.0528764359473,2.9970432225526293,-0.9978310342145851,0.0848990819602441,1.1167175690844768,5.763645339432292,101.22110207708488,37,57.72222222222222,27.118023679745182,0.6502696072853847,0.0,666.5444155866437,871.5609550867969,1102.4727492005075,0.31,0.003376364566629463
